price,dispaly_res_type,os,processor_brand,connectivity_feature,battery,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera
16999,Full HD+ AMOLED Display,Android 11,Snapdragon,5,5000,6,128,MOTOROLA,6.4,50.0,16.0
6999,HD,other,Mediatek,4,4000,2,16,MOTOROLA,5.0,8.0,2.0
10999,Full HD+,Android 11,Snapdragon,4,6000,4,64,Motorola,6.78,64.0,16.0
34999,Full HD+ AMOLED Display,Android 12,Snapdragon,5,4800,8,128,Motorola,6.417,50.0,60.0
16999,Full HD,other,Snapdragon,4,3000,4,32,MOTOROLA,5.2,12.0,5.0
20999,Full HD+,Android 11,Snapdragon,5,4000,8,128,Motorola,6.7,108.0,32.0
24999,Full HD+,Android 13,Mediatek,5,5000,12,256,Motorola,6.55,50.0,32.0
7499,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,8.0
7499,HD+,Android 13,other,4,5000,8,128,Motorola,6.5,13.0,5.0
17999,Full HD+,Android 10,Snapdragon,4,5000,6,128,Motorola,6.5,64.0,16.0
24999,Full HD+,Android 13,Mediatek,5,5000,12,256,Motorola,6.55,50.0,32.0
10999,Full HD+,Android 12,Snapdragon,5,5000,6,128,Motorola,6.55,50.0,16.0
7499,HD+,Android 13,other,4,5000,8,128,Motorola,6.5,13.0,5.0
7499,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,8.0
8990,HD+,Android 11,other,4,5000,4,64,Motorola,6.5,48.0,8.0
11999,Full HD+,Android 11,Mediatek,4,5000,6,128,Motorola,6.4,50.0,13.0
5999,HD+,Android 13,other,4,5000,2,64,Motorola,6.5,13.0,5.0
24999,Full HD+,Android 13,Mediatek,5,5000,12,256,Motorola,6.55,50.0,32.0
34999,Full HD+,Android 12,Snapdragon,5,4400,8,128,Motorola,6.55,50.0,32.0
10999,Full HD+,Android 12,Snapdragon,4,5000,4,64,Motorola,6.47,50.0,16.0
11999,Full HD+,Android 12,Snapdragon,4,5000,4,64,Motorola,6.47,50.0,
29999,Full HD+,Android 11,Snapdragon,5,4500,8,128,Motorola,6.7,108.0,32.0
9099,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,16.0,8.0
13999,Full HD+,Android 12,Snapdragon,5,5000,6,128,MOTOROLA,6.6,50.0,16.0
5999,HD+,Android 13,other,4,5000,2,64,Motorola,6.5,13.0,5.0
13990,Full HD+,other,Snapdragon,4,5000,4,64,MOTOROLA,6.2,16.0,12.0
10999,Full HD+,Android 12,Snapdragon,5,5000,6,128,Motorola,6.55,50.0,16.0
12999,Full HD+,Android 13,Mediatek,5,5000,8,128,Motorola,6.5,50.0,16.0
6999,HD+,Android 10,Mediatek,4,5000,2,32,Motorola,6.51,13.0,5.0
11999,HD+,Android 10,Snapdragon,4,6000,4,64,Motorola,6.78,64.0,16.0
21999,Full HD+,other,Exynos,4,3500,4,128,MOTOROLA,6.3,48.0,25.0
14999,Full HD+,Android 11,Snapdragon,4,6000,6,128,Motorola,6.78,108.0,32.0
11999,Full HD+,Android 12,Snapdragon,5,5000,8,128,Motorola,16.51,50.0,16.0
7499,HD+,other,Mediatek,4,3000,4,64,MOTOROLA,6.1,13.0,8.0
9499,HD+,Android 13,Mediatek,4,5000,4,64,Motorola,6.5,50.0,8.0
15999,Full HD+,other,Snapdragon,4,3000,4,64,MOTOROLA,5.7,12.0,16.0
